,Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,Predicted
33,34,340,114,5,4.0,4.0,9.6,1,0.9,0.9360427825431961
34,35,331,112,5,4.0,5.0,9.8,1,0.94,0.9601039881920448
35,36,320,110,5,5.0,5.0,9.2,1,0.88,0.8542614804798547
36,37,299,106,2,4.0,4.0,8.4,0,0.64,0.667781466496471
37,38,300,105,1,1.0,2.0,7.8,0,0.58,0.5377630379532761
38,39,304,105,1,3.0,1.5,7.5,0,0.52,0.49984078523998354
39,40,307,108,2,4.0,3.5,7.7,0,0.48,0.5885962902447583
40,41,308,110,3,3.5,3.0,8.0,1,0.46,0.621692279635532
41,42,316,105,2,2.5,2.5,8.2,1,0.49,0.6407054443047189
42,43,313,107,2,2.5,2.0,8.5,1,0.53,0.6654561662038718
43,44,332,117,4,4.5,4.0,9.1,0,0.87,0.8608900003036588
44,45,326,113,5,4.5,4.0,9.4,1,0.91,0.8764780222016464
45,46,322,110,5,5.0,4.0,9.1,1,0.88,0.8223219789579344
46,47,329,114,5,4.0,5.0,9.3,1,0.86,0.8955569666389245
47,48,339,119,5,4.5,4.0,9.7,0,0.89,0.9592512142761436
48,49,321,110,3,3.5,5.0,8.85,1,0.82,0.8087304104852846
49,50,327,111,4,3.0,4.0,8.4,1,0.78,0.7422388448322499
50,51,313,98,3,2.5,4.5,8.3,1,0.76,0.6775517345135853
51,52,312,100,2,1.5,3.5,7.9,1,0.56,0.6028872159379466
52,53,334,116,4,4.0,3.0,8.0,1,0.78,0.6964810860322608
53,54,324,112,4,4.0,2.5,8.1,1,0.72,0.6651986088792792
54,55,322,110,3,3.0,3.5,8.0,0,0.7,0.6648696457293077
55,56,320,103,3,3.0,3.0,7.7,0,0.64,0.5932687441542477
56,57,316,102,3,2.0,3.0,7.4,0,0.64,0.5412090345087317
57,58,298,99,2,4.0,2.0,7.6,0,0.46,0.498425232967056
58,59,300,99,1,3.0,2.0,6.8,1,0.36,0.3978928568285205
59,60,311,104,2,2.0,2.0,8.3,0,0.42,0.627102927235156
60,61,309,100,2,3.0,3.0,8.1,0,0.48,0.6126154730818452
61,62,307,101,3,4.0,3.0,8.2,0,0.47,0.6250090585479384
62,63,304,105,2,3.0,3.0,8.2,1,0.54,0.6257506898193403
63,64,315,107,2,4.0,3.0,8.5,1,0.56,0.696270699068017
64,65,325,111,3,3.0,3.5,8.7,0,0.52,0.7646036221883437
65,66,325,112,4,3.5,3.5,8.92,0,0.55,0.7962492119127611
66,67,327,114,3,3.0,3.0,9.02,0,0.61,0.8057952493003002
67,68,316,107,2,3.5,3.5,8.64,1,0.57,0.7276146147401823
68,69,318,109,3,3.5,4.0,9.22,1,0.68,0.8236880464201501
69,70,328,115,4,4.5,4.0,9.16,1,0.78,0.8547481829004155
70,71,332,118,5,5.0,5.0,9.64,1,0.94,0.9575172007172941
71,72,336,112,5,5.0,5.0,9.76,1,0.96,0.9681730347874726
72,73,321,111,5,5.0,5.0,9.45,1,0.93,0.891223246110358
73,74,314,108,4,4.5,4.0,9.04,1,0.84,0.7905955891707679
74,75,314,106,3,3.0,5.0,8.9,0,0.74,0.7888368204278251
75,76,329,114,2,2.0,4.0,8.56,1,0.72,0.7728297100823953
76,77,327,112,3,3.0,3.0,8.72,1,0.74,0.7623286009751808
77,78,301,99,2,3.0,2.0,8.22,0,0.64,0.5837462295696425
78,79,296,95,2,3.0,2.0,7.54,1,0.44,0.47496047643933537
79,80,294,93,1,1.5,2.0,7.36,0,0.46,0.43980864362517114
80,81,312,105,3,2.0,3.0,8.02,1,0.5,0.6191741887198754
81,82,340,120,4,5.0,5.0,9.5,1,0.96,0.9625273544384267
82,83,320,110,5,5.0,4.5,9.22,1,0.92,0.8450377112179517
83,84,322,115,5,4.0,4.5,9.36,1,0.92,0.8777316050906281
84,85,340,115,5,4.5,4.5,9.45,1,0.94,0.93167068247981
85,86,319,103,4,4.5,3.5,8.66,0,0.76,0.7294582097001925
86,87,315,106,3,4.5,3.5,8.42,0,0.72,0.6962586359606284
87,88,317,107,2,3.5,3.0,8.28,0,0.66,0.6715738573923389
88,89,314,108,3,4.5,3.5,8.14,0,0.64,0.6624514132639225
89,90,316,109,4,4.5,3.5,8.76,1,0.74,0.7495421744864279
90,91,318,106,2,4.0,4.0,7.92,1,0.64,0.6494799328493848
91,92,299,97,3,5.0,3.5,7.66,0,0.38,0.5409499011020085
92,93,298,98,2,4.0,3.0,8.03,0,0.34,0.575281460502068
93,94,301,97,2,3.0,3.0,7.88,1,0.44,0.5587271197683288
94,95,303,99,3,2.0,2.5,7.66,0,0.36,0.5260455637013632
95,96,304,100,4,1.5,2.5,7.84,0,0.42,0.5530950637700096
96,97,306,100,2,3.0,3.0,8.0,0,0.48,0.5927824109921342
97,98,331,120,3,4.0,4.0,8.96,1,0.86,0.8466595149018907
98,99,332,119,4,5.0,4.5,9.24,1,0.9,0.896347808022715
99,100,323,113,3,4.0,4.0,8.88,1,0.79,0.8014912355003716
100,101,322,107,3,3.5,3.5,8.46,1,0.71,0.7181614405227807
101,102,312,105,2,2.5,3.0,8.12,0,0.64,0.63296429362885
102,103,314,106,2,4.0,3.5,8.25,0,0.62,0.6711179289308284
103,104,317,104,2,4.5,4.0,8.47,0,0.57,0.7144470628002981
104,105,326,112,3,3.5,3.0,9.05,1,0.74,0.8035464972345068
105,106,316,110,3,4.0,4.5,8.78,1,0.69,0.7772255453795243
106,107,329,111,4,4.5,4.5,9.18,1,0.87,0.8620682052281401
107,108,338,117,4,3.5,4.5,9.46,1,0.91,0.9313189823238588
108,109,331,116,5,5.0,5.0,9.38,1,0.93,0.9169186945441137
109,110,304,103,5,5.0,4.0,8.64,0,0.68,0.7050112980507501
110,111,305,108,5,3.0,3.0,8.48,0,0.61,0.6712785496509044
111,112,321,109,4,4.0,4.0,8.68,1,0.69,0.7616578428565992
112,113,301,107,3,3.5,3.5,8.34,1,0.62,0.6543015666057443
113,114,320,110,2,4.0,3.5,8.56,0,0.72,0.7343793070909017
114,115,311,105,3,3.5,3.0,8.45,1,0.59,0.6750461636400926
115,116,310,106,4,4.5,4.5,9.04,1,0.66,0.7885070885666039
116,117,299,102,3,4.0,3.5,8.62,0,0.56,0.6750334498408002
117,118,290,104,4,2.0,2.5,7.46,0,0.45,0.48198390448060957
118,119,296,99,2,3.0,3.5,7.28,0,0.47,0.4861560316188118
119,120,327,104,5,3.0,3.5,8.84,1,0.71,0.770895934441195
120,121,335,117,5,5.0,5.0,9.56,1,0.94,0.9517390992973276
121,122,334,119,5,4.5,4.5,9.48,1,0.94,0.9311111696695087
122,123,310,106,4,1.5,2.5,8.36,0,0.57,0.6481895722138487
123,124,308,108,3,3.5,3.5,8.22,0,0.61,0.6572505088204332
124,125,301,106,4,2.5,3.0,8.47,0,0.57,0.6552244666858034
125,126,300,100,3,2.0,3.0,8.66,1,0.64,0.6625530672595876
126,127,323,113,3,4.0,3.0,9.32,1,0.85,0.8347482216048014
127,128,319,112,3,2.5,2.0,8.71,1,0.78,0.718135540633857
128,129,326,112,3,3.5,3.0,9.1,1,0.84,0.8100095628130362
129,130,333,118,5,5.0,5.0,9.35,1,0.92,0.9223337306727073
130,131,339,114,5,4.0,4.5,9.76,1,0.96,0.9662312775769215
131,132,303,105,5,5.0,4.5,8.65,0,0.77,0.7204988512028292
132,133,309,105,5,3.5,3.5,8.56,0,0.71,0.6964692827844043
133,134,323,112,5,4.0,4.5,8.78,0,0.79,0.7980299724096556
134,135,333,113,5,4.0,4.0,9.28,1,0.89,0.8762188632374475
135,136,314,109,4,3.5,4.0,8.77,1,0.82,0.7563112149698483
136,137,312,103,3,5.0,4.0,8.45,0,0.76,0.6988701313394103
137,138,316,100,2,1.5,3.0,8.16,1,0.71,0.6338954026965218
138,139,326,116,2,4.5,3.0,9.08,1,0.8,0.8185287937933419
139,140,318,109,1,3.5,3.5,9.12,0,0.78,0.7989529197697762
140,141,329,110,2,4.0,3.0,9.15,1,0.84,0.8195552782221913
141,142,332,118,2,4.5,3.5,9.36,1,0.9,0.885033073245669
142,143,331,115,5,4.0,3.5,9.44,1,0.92,0.8851753118276022
143,144,340,120,4,4.5,4.0,9.92,1,0.97,0.9923351405595291
144,145,325,112,2,3.0,3.5,8.96,1,0.8,0.8005556906236686
145,146,320,113,2,2.0,2.5,8.64,1,0.81,0.7246787083031698
146,147,315,105,3,2.0,2.5,8.48,0,0.75,0.6737323274816842
147,148,326,114,3,3.0,3.0,9.11,1,0.83,0.815126457030769
148,149,339,116,4,4.0,3.5,9.8,1,0.96,0.9524719939070581
149,150,311,106,2,3.5,3.0,8.26,1,0.79,0.6528306418686514
150,151,334,114,4,4.0,4.0,9.43,1,0.93,0.9002544977108915
151,152,332,116,5,5.0,5.0,9.28,1,0.94,0.9062948736979388
152,153,321,112,5,5.0,5.0,9.06,1,0.86,0.8431554620247987
153,154,324,105,3,3.0,4.0,8.75,0,0.79,0.7665086083874755
154,155,326,108,3,3.0,3.5,8.89,0,0.8,0.7844331994167257
155,156,312,109,3,3.0,3.0,8.69,0,0.77,0.7168837246838877
156,157,315,105,3,2.0,2.5,8.34,0,0.7,0.6556357438618017
157,158,309,104,2,2.0,2.5,8.26,0,0.65,0.6291368496438787
158,159,306,106,2,2.0,2.5,8.14,0,0.61,0.6114068161766988
159,160,297,100,1,1.5,2.0,7.9,0,0.52,0.5329255747947417
160,161,315,103,1,1.5,2.0,7.86,0,0.57,0.576229090208745
161,162,298,99,1,1.5,3.0,7.46,0,0.53,0.4996267715742242
162,163,318,109,3,3.0,3.0,8.5,0,0.67,0.7061379373507801
163,164,317,105,3,3.5,3.0,8.56,0,0.68,0.7030787697781617
164,165,329,111,4,4.5,4.0,9.01,1,0.81,0.8282847867678251
165,166,322,110,5,4.5,4.0,8.97,0,0.78,0.804654034701842
166,167,302,102,3,3.5,5.0,8.33,0,0.65,0.67901761314601
167,168,313,102,3,2.0,3.0,8.27,0,0.64,0.6467594446424929
168,169,293,97,2,2.0,4.0,7.8,1,0.64,0.5518577758384069
169,170,311,99,2,2.5,3.0,7.98,0,0.65,0.5985006351362552
170,171,312,101,2,2.5,3.5,8.04,1,0.68,0.6250558744886323
171,172,334,117,5,4.0,4.5,9.07,1,0.89,0.8725618033197078
172,173,322,110,4,4.0,5.0,9.13,1,0.86,0.8480898617878503
173,174,323,113,4,4.0,4.5,9.23,1,0.89,0.8585416900433929
174,175,321,111,4,4.0,4.0,8.97,1,0.87,0.8038318780660134
175,176,320,111,4,4.5,3.5,8.87,1,0.85,0.7776584148566714
176,177,329,119,4,4.5,4.5,9.16,1,0.9,0.8782359984124994
177,178,319,110,3,3.5,3.5,9.04,0,0.82,0.793258452581985
178,179,309,108,3,2.5,3.0,8.12,0,0.72,0.633089744977112
179,180,307,102,3,3.0,3.0,8.27,0,0.73,0.6346735302810198
180,181,300,104,3,3.5,3.0,8.16,0,0.71,0.6098908424379252
181,182,305,107,2,2.5,2.5,8.42,0,0.71,0.6485057742844669
182,183,299,100,2,3.0,3.5,7.88,0,0.68,0.572963876920789
183,184,314,110,3,4.0,4.0,8.8,0,0.75,0.7633971554958534
184,185,316,106,2,2.5,4.0,8.32,0,0.72,0.6939879156001054
185,186,327,113,4,4.5,4.5,9.11,1,0.89,0.8531035476503739
186,187,317,107,3,3.5,3.0,8.68,1,0.84,0.7232783820205753
187,188,335,118,5,4.5,3.5,9.44,1,0.93,0.9022809091039683
188,189,331,115,5,4.5,3.5,9.36,1,0.93,0.875698380653871
189,190,324,112,5,5.0,5.0,9.08,1,0.88,0.852647619188863
190,191,324,111,5,4.5,4.0,9.16,1,0.9,0.8361624319489938
191,192,323,110,5,4.0,5.0,8.98,1,0.87,0.8310029753631456
192,193,322,114,5,4.5,4.0,8.94,1,0.86,0.8101527050626096
193,194,336,118,5,4.5,5.0,9.53,1,0.94,0.9516437239361499
194,195,316,109,3,3.5,3.0,8.76,0,0.77,0.7360052314892815
195,196,307,107,2,3.0,3.5,8.52,1,0.78,0.6905184908018391
196,197,306,105,2,3.0,2.5,8.26,0,0.73,0.6263019936420298
197,198,310,106,2,3.5,2.5,8.33,0,0.73,0.6477676278743942
198,199,311,104,3,4.5,4.5,8.43,0,0.7,0.7072717439654852
199,200,313,107,3,4.0,4.5,8.69,0,0.72,0.7516527141246048
200,201,317,103,3,2.5,3.0,8.54,1,0.73,0.6940773411889753
201,202,315,110,2,3.5,3.0,8.46,1,0.72,0.6972686551341916
202,203,340,120,5,4.5,4.5,9.91,1,0.97,1.0028515229371382
203,204,334,120,5,4.0,5.0,9.87,1,0.97,0.994812230350409
204,205,298,105,3,3.5,4.0,8.54,0,0.69,0.6803676386265822
205,206,295,99,2,2.5,3.0,7.65,0,0.57,0.5190074373438156
206,207,315,99,2,3.5,3.0,7.89,0,0.63,0.5978043058422697
207,208,310,102,3,3.5,4.0,8.02,1,0.66,0.6337470980595699
208,209,305,106,2,3.0,3.0,8.16,0,0.64,0.6252266750943725
209,210,301,104,3,3.5,4.0,8.12,1,0.68,0.6306406912726152
210,211,325,108,4,4.5,4.0,9.06,1,0.79,0.8185062288219043
211,212,328,110,4,5.0,4.0,9.14,1,0.82,0.8413062932860624
212,213,338,120,4,5.0,5.0,9.66,1,0.95,0.9786045436679531
213,214,333,119,5,5.0,4.5,9.78,1,0.96,0.9684512265817173
214,215,331,117,4,4.5,5.0,9.42,1,0.94,0.9235693006819927
215,216,330,116,5,5.0,4.5,9.36,1,0.93,0.900222162508503
216,217,322,112,4,4.5,4.5,9.26,1,0.91,0.8586370654045705
217,218,321,109,4,4.0,4.0,9.13,1,0.85,0.8198254330633654
218,219,324,110,4,3.0,3.5,8.97,1,0.84,0.7948577385745477
219,220,312,104,3,3.5,3.5,8.42,0,0.74,0.682935502670202
220,221,313,103,3,4.0,4.0,8.75,0,0.76,0.7382228876176402
221,222,316,110,3,3.5,4.0,8.56,0,0.75,0.7361150875887645
222,223,324,113,4,4.5,4.0,8.79,0,0.76,0.7930240015218177
223,224,308,109,2,3.0,4.0,8.45,0,0.71,0.7002697596500393
224,225,305,105,2,3.0,2.0,8.23,0,0.67,0.608312848490713
225,226,296,99,2,2.5,2.5,8.03,0,0.61,0.5586200505582091
226,227,306,110,2,3.5,4.0,8.45,0,0.63,0.6988732402071589
227,228,312,110,2,3.5,3.0,8.53,0,0.64,0.6994100160114805
228,229,318,112,3,4.0,3.5,8.67,0,0.71,0.7486816855958409
229,230,324,111,4,3.0,3.0,9.01,1,0.82,0.7905633229710283
230,231,313,104,3,4.0,4.5,8.65,0,0.73,0.7394498793808673
231,232,319,106,3,3.5,2.5,8.33,1,0.74,0.6684884206723507
232,233,312,107,2,2.5,3.5,8.27,0,0.69,0.6688507407116964
233,234,304,100,2,2.5,3.5,8.07,0,0.64,0.6081711039217059
234,235,330,113,5,5.0,4.0,9.31,1,0.91,0.8749177191557447
235,236,326,111,5,4.5,4.0,9.23,1,0.88,0.849815344380703
236,237,325,112,4,4.0,4.5,9.17,1,0.85,0.8530465045439537
237,238,329,114,5,4.5,5.0,9.19,1,0.86,0.882202196118075
238,239,310,104,3,2.0,3.5,8.37,0,0.7,0.6692758952141569
239,240,299,100,1,1.5,2.0,7.89,0,0.59,0.5362375823008037
240,241,296,101,1,2.5,3.0,7.68,0,0.6,0.5298758418557601
241,242,317,103,2,2.5,2.0,8.15,0,0.65,0.620047438689816
242,243,324,115,3,3.5,3.0,8.76,1,0.7,0.768488478538182
243,244,325,114,3,3.5,3.0,9.04,1,0.76,0.8046398286618599
244,245,314,107,2,2.5,4.0,8.56,0,0.63,0.7227501371822505
245,246,328,110,4,4.0,2.5,9.02,1,0.81,0.7886400019138158
246,247,316,105,3,3.0,3.5,8.73,0,0.72,0.733695904175677
247,248,311,104,2,2.5,3.5,8.48,0,0.71,0.6866609235497219
248,249,324,110,3,3.5,4.0,8.87,1,0.8,0.7946045766627194
249,250,321,111,3,3.5,4.0,8.83,1,0.77,0.7848713206942151
250,251,320,104,3,3.0,2.5,8.57,1,0.74,0.6962612171543179
251,252,316,99,2,2.5,3.0,9.0,0,0.7,0.7418587244926775
252,253,318,100,2,2.5,3.5,8.54,1,0.71,0.7011562647122602
253,254,335,115,4,4.5,4.5,9.68,1,0.93,0.9498892325866253
254,255,321,114,4,4.0,5.0,9.12,0,0.85,0.8538714480691452
255,256,307,110,4,4.0,4.5,8.37,0,0.79,0.7035076148376258
256,257,309,99,3,4.0,4.0,8.56,0,0.76,0.6950774874678061
257,258,324,100,3,4.0,5.0,8.64,1,0.78,0.7659151654703154
258,259,326,102,4,5.0,5.0,8.76,1,0.77,0.7924473458383283
259,260,331,119,4,5.0,4.5,9.34,1,0.9,0.9069716288688898
260,261,327,108,5,5.0,3.5,9.13,1,0.87,0.8212141195122147
261,262,312,104,3,3.5,4.0,8.09,0,0.71,0.6520882653452222
262,263,308,103,2,2.5,4.0,8.36,1,0.7,0.6737075032949424
263,264,324,111,3,2.5,1.5,8.79,1,0.7,0.7258348741936382
264,265,325,110,2,3.0,2.5,8.76,1,0.75,0.7463971824689786
265,266,313,102,3,2.5,2.5,8.68,0,0.71,0.6888115606450356
266,267,312,105,2,2.0,2.5,8.45,0,0.72,0.6629475572019143
267,268,314,107,3,3.0,3.5,8.17,1,0.73,0.6613932039283208
268,269,327,113,4,4.5,5.0,9.14,0,0.83,0.8687903824908063
269,270,308,108,4,4.5,5.0,8.34,0,0.77,0.7099168001926799
270,271,306,105,2,2.5,3.0,8.22,1,0.72,0.6320765629206049
271,272,299,96,2,1.5,2.0,7.86,0,0.54,0.5229832332458006
272,273,294,95,1,1.5,1.5,7.64,0,0.49,0.46888107022556413
273,274,312,99,1,1.0,1.5,8.01,1,0.52,0.5666618770585652
274,275,315,100,1,2.0,2.5,7.95,0,0.58,0.5935031952144145
275,276,322,110,3,3.5,3.0,8.96,1,0.78,0.7780154830956754
276,277,329,113,5,5.0,4.5,9.45,1,0.89,0.902520987958058
277,278,320,101,2,2.5,3.0,8.62,0,0.7,0.706636922193332
278,279,308,103,2,3.0,3.5,8.49,0,0.66,0.67956645205772
279,280,304,102,2,3.0,4.0,8.73,0,0.67,0.7108447936574689
280,281,311,102,3,4.5,4.0,8.64,1,0.68,0.7179193690480514
281,282,317,110,3,4.0,4.5,9.11,1,0.8,0.8221840885087031
282,283,312,106,3,4.0,3.5,8.79,1,0.81,0.7363144165571791
283,284,321,111,3,2.5,3.0,8.9,1,0.8,0.7685736740136955
284,285,340,112,4,5.0,4.5,9.66,1,0.94,0.9526471493806357
285,286,331,116,5,4.0,4.0,9.26,1,0.93,0.8760613986651817
286,287,336,118,5,4.5,4.0,9.19,1,0.92,0.8840768870155196
287,288,324,114,5,5.0,4.5,9.08,1,0.89,0.8455268785494909
288,289,314,104,4,5.0,5.0,9.02,0,0.82,0.8031158179700157
289,290,313,109,3,4.0,3.5,9.0,0,0.79,0.7727939845788008
290,291,307,105,2,2.5,3.0,7.65,0,0.58,0.5606999256362526
291,292,300,102,2,1.5,2.0,7.87,0,0.56,0.5406429212342188
292,293,302,99,2,1.0,2.0,7.97,0,0.56,0.5502773169802158
293,294,312,98,1,3.5,3.0,8.18,1,0.64,0.6260390278381172
294,295,316,101,2,2.5,2.0,8.32,1,0.61,0.6350312964919897
295,296,317,100,2,3.0,2.5,8.57,0,0.68,0.6799777765137804
296,297,310,107,3,3.5,3.5,8.67,0,0.76,0.7176785922219957
297,298,320,120,3,4.0,4.5,9.11,0,0.86,0.8525322937110689
298,299,330,114,3,4.5,4.5,9.24,1,0.9,0.8791585765141741
299,300,305,112,3,3.0,3.5,8.65,0,0.71,0.7144384778191046
300,301,309,106,2,2.5,2.5,8.0,0,0.62,0.6010811372413842
301,302,319,108,2,2.5,3.0,8.76,0,0.66,0.7388400874911305
302,303,322,105,2,3.0,3.0,8.45,1,0.65,0.6995076033079011
303,304,323,107,3,3.5,3.5,8.55,1,0.73,0.7320972688750178
304,305,313,106,2,2.5,2.0,8.43,0,0.62,0.6540637469669592
305,306,321,109,3,3.5,3.5,8.8,1,0.74,0.76449623099984
306,307,323,110,3,4.0,3.5,9.1,1,0.79,0.8110873462716723
307,308,325,112,4,4.0,4.0,9.0,1,0.8,0.8192630860836387
308,309,312,108,3,3.5,3.0,8.53,0,0.69,0.6947217611575378
309,310,308,110,4,3.5,3.0,8.6,0,0.7,0.6992490665778854
310,311,320,104,3,3.0,3.5,8.74,1,0.76,0.7418536311079476
311,312,328,108,4,4.5,4.0,9.18,1,0.84,0.8409245171430273
312,313,311,107,4,4.5,4.5,9.0,1,0.78,0.7879830738416356
313,314,301,100,3,3.5,3.0,8.04,0,0.67,0.587305285652453
314,315,305,105,2,3.0,4.0,8.13,0,0.66,0.6426226993069131
315,316,308,104,2,2.5,3.0,8.07,0,0.65,0.614947859379813
316,317,298,101,2,1.5,2.0,7.86,0,0.54,0.5324015600697736
317,318,300,99,1,1.0,2.5,8.01,0,0.58,0.562652144314586
318,319,324,111,3,2.5,2.0,8.8,1,0.79,0.738936482802659
319,320,327,113,4,3.5,3.0,8.69,1,0.8,0.76165886280695
320,321,317,106,3,4.0,3.5,8.5,1,0.75,0.7103401877561284
321,322,323,104,3,4.0,4.0,8.44,1,0.73,0.7235191115665689
322,323,314,107,2,2.5,4.0,8.27,0,0.72,0.6852643568267789
323,324,305,102,2,2.0,2.5,8.18,0,0.62,0.6048984486207525
324,325,315,104,3,3.0,2.5,8.33,0,0.67,0.6537269508229557
325,326,326,116,3,3.5,4.0,9.14,1,0.81,0.8481745159703751
326,327,299,100,3,2.0,2.0,8.02,0,0.63,0.5539055265568962
327,328,295,101,2,2.5,2.0,7.86,0,0.69,0.5272225766409528
328,329,324,112,4,4.0,3.5,8.77,1,0.8,0.775421678618204
329,330,297,96,2,2.5,1.5,7.89,0,0.43,0.5121754039816668
330,331,327,113,3,3.5,3.0,8.66,1,0.8,0.7577810234598323
331,332,311,105,2,3.0,2.0,8.12,1,0.73,0.6079079660832525
332,333,308,106,3,3.5,2.5,8.21,1,0.75,0.6276516498641556
333,334,319,108,3,3.0,3.5,8.54,1,0.71,0.723075568190831
334,335,312,107,4,4.5,4.0,8.65,1,0.73,0.7332349296094982
335,336,325,111,4,4.0,4.5,9.11,1,0.83,0.8429466984227467
336,337,319,110,3,3.0,2.5,8.79,0,0.72,0.7364611599507915
337,338,332,118,5,5.0,5.0,9.47,1,0.94,0.9355427777502938
338,339,323,108,5,4.0,4.0,8.74,1,0.81,0.7716740147456314
339,340,324,107,5,3.5,4.0,8.66,1,0.81,0.7604273189519812
340,341,312,107,3,3.0,3.0,8.46,1,0.75,0.6824653681687094
341,342,326,110,3,3.5,3.5,8.76,1,0.79,0.7731814575184082
342,343,308,106,3,3.0,3.0,8.24,0,0.58,0.6424745109526722
343,344,305,103,2,2.5,3.5,8.13,0,0.59,0.6252614752077399
344,345,295,96,2,1.5,2.0,7.34,0,0.47,0.44655810998555756
345,346,316,98,1,1.5,2.0,7.43,0,0.49,0.5112283994094184
346,347,304,97,2,1.5,2.0,7.64,0,0.47,0.5084014236816623
347,348,299,94,1,1.0,1.0,7.34,0,0.42,0.42659713163660573
348,349,302,99,1,2.0,2.0,7.25,0,0.57,0.45893712015322263
349,350,313,101,3,2.5,3.0,8.04,0,0.62,0.6155491893062015
350,351,318,107,3,3.0,3.5,8.27,1,0.74,0.6835285763289161
351,352,325,110,4,3.5,4.0,8.67,1,0.73,0.7710546246594854
352,353,303,100,2,3.0,3.5,8.06,1,0.64,0.6054401542470318
353,354,300,102,3,3.5,2.5,8.17,0,0.63,0.5946862052063739
354,355,297,98,2,2.5,3.0,7.67,0,0.59,0.523853156770024
355,356,317,106,2,2.0,3.5,8.12,0,0.73,0.6577649943516404
356,357,327,109,3,3.5,4.0,8.77,1,0.79,0.7862412490113413
357,358,301,104,2,3.5,3.5,7.89,1,0.68,0.5891015941180644
358,359,314,105,2,2.5,2.0,7.64,0,0.7,0.5519054937101058
359,360,321,107,2,2.0,1.5,8.44,0,0.81,0.663446000751478
360,361,322,110,3,4.0,5.0,8.64,1,0.85,0.7847518191182612
361,362,334,116,4,4.0,3.5,9.54,1,0.93,0.9073525013442847
362,363,338,115,5,4.5,5.0,9.23,1,0.91,0.9104375688058264
363,364,306,103,2,2.5,3.0,8.36,0,0.69,0.6454848916865448
364,365,313,102,3,3.5,4.0,8.9,1,0.77,0.7544039831743414
365,366,330,114,4,4.5,3.0,9.17,1,0.86,0.8346832982242884
366,367,320,104,3,3.5,4.5,8.34,1,0.74,0.7146310712182569
367,368,311,98,1,1.0,2.5,7.46,0,0.57,0.5145397089435149
368,369,298,92,1,2.0,2.0,7.88,0,0.51,0.5147536132103583
369,370,301,98,1,2.0,3.0,8.03,1,0.67,0.5787324964270573
370,371,310,103,2,2.5,2.5,8.24,0,0.72,0.6273737800482957
371,372,324,110,3,3.5,3.0,9.22,1,0.89,0.8162280447257961
372,373,336,119,4,4.5,4.0,9.62,1,0.95,0.9420033784178443
373,374,321,109,3,3.0,3.0,8.54,1,0.79,0.7182153207462556
374,375,315,105,2,2.0,2.5,7.65,0,0.39,0.5664454388780946
375,376,304,101,2,2.0,2.5,7.66,0,0.38,0.5330361288661902
